measure_key,module_id,module_version,module_label,domain,metric_id,metric_name,unit,frequency,derivation,formula,source_ids,source_tier,subgroup_dimension,geography_basis,history_start,notes
observatory.housing_permits.permitted_units_five_plus,observatory,1.1.0,Housing Observatory,housing_permits,permitted_units_five_plus,Permitted units in structures with five or more units,housing units,annual final,published,published,CENSUS_BPS,1,none,,,New privately owned residential units authorized by building permits.
observatory.housing_permits.permitted_units_three_four_unit,observatory,1.1.0,Housing Observatory,housing_permits,permitted_units_three_four_unit,Permitted units in three- and four-unit structures,housing units,annual final,published,published,CENSUS_BPS,1,none,,,New privately owned residential units authorized by building permits.
observatory.housing_permits.permitted_units_two_unit,observatory,1.1.0,Housing Observatory,housing_permits,permitted_units_two_unit,Permitted units in two-unit structures,housing units,annual final,published,published,CENSUS_BPS,1,none,,,New privately owned residential units authorized by building permits.
observatory.production_targets.hcd_apr_above_permitted_units,observatory,1.1.0,Housing Observatory,production_targets,hcd_apr_above_permitted_units,HCD-reported ABOVE permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook.
observatory.production_targets.hcd_apr_li_permitted_units,observatory,1.1.0,Housing Observatory,production_targets,hcd_apr_li_permitted_units,HCD-reported LI permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook.
observatory.production_targets.hcd_apr_mod_permitted_units,observatory,1.1.0,Housing Observatory,production_targets,hcd_apr_mod_permitted_units,HCD-reported MOD permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook.
observatory.production_targets.hcd_apr_vli_permitted_units,observatory,1.1.0,Housing Observatory,production_targets,hcd_apr_vli_permitted_units,HCD-reported VLI permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook.
observatory.production_targets.hcd_apr_permitted_units,observatory,1.1.0,Housing Observatory,production_targets,hcd_apr_permitted_units,HCD-reported permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook.
observatory.production_targets.rhna_permitted_cycle_to_date,observatory,1.1.0,Housing Observatory,production_targets,rhna_permitted_cycle_to_date,Permitted units reported for 2023–2025,housing units,cycle-to-date,aggregated,sum of 2023–2025 jurisdiction-reported permits within county,CA_HCD_APR,1,none,,,Targets and progress use separate HCD datasets; county values sum constituent jurisdictions.
observatory.production_targets.rhna_progress_pct,observatory,1.1.0,Housing Observatory,production_targets,rhna_progress_pct,Progress toward sixth-cycle RHNA allocation,percent,cycle-to-date,derived,2023–2025 reported permits divided by sixth-cycle RHNA allocation,CA_HCD_APR,1,none,,,Targets and progress use separate HCD datasets; county values sum constituent jurisdictions.
observatory.production_targets.rhna_target_total,observatory,1.1.0,Housing Observatory,production_targets,rhna_target_total,Sixth-cycle RHNA allocation,housing units,cycle-to-date,aggregated,sum of jurisdiction RHNA allocations within county,CA_HCD_RHNA,1,none,,,Targets and progress use separate HCD datasets; county values sum constituent jurisdictions.
observatory.rental_trends.median_gross_rent,observatory,1.1.0,Housing Observatory,rental_trends,median_gross_rent,Median gross rent,current dollars per month,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,ACS five-year estimate; consecutive vintages contain overlapping survey years.
observatory.vacancy.housing_vacancy_rate,observatory,1.1.0,Housing Observatory,vacancy,housing_vacancy_rate,Housing vacancy rate,percent,annual five-year estimate,derived,B25002 vacant units divided by total housing units,CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted.
observatory.vacancy.vacant_housing_units,observatory,1.1.0,Housing Observatory,vacancy,vacant_housing_units,Vacant housing units,housing units,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,
production.accessory_dwelling_units.adu_building_permit_units,production,1.3.0,Housing Production & Policy,accessory_dwelling_units,adu_building_permit_units,ADU building-permit units,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.accessory_dwelling_units.adu_completed_units,production,1.3.0,Housing Production & Policy,accessory_dwelling_units,adu_completed_units,ADU completed units,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.accessory_dwelling_units.adu_entitled_units,production,1.3.0,Housing Production & Policy,accessory_dwelling_units,adu_entitled_units,ADU entitled units,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.housing_applications.application_approved_projects,production,1.3.0,Housing Production & Policy,housing_applications,application_approved_projects,Application records reported approved,records,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
production.housing_applications.application_pending_projects,production,1.3.0,Housing Production & Policy,housing_applications,application_pending_projects,Application records reported pending,records,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
production.housing_applications.sb35_application_records,production,1.3.0,Housing Production & Policy,housing_applications,sb35_application_records,Application records submitted under SB 35,records,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,HCD APR application-stage administrative data aggregated to county.
production.housing_applications.application_decision_approval_share_pct,production,1.3.0,Housing Production & Policy,housing_applications,application_decision_approval_share_pct,Approved share of decided application records,percent,annual,derived,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,CA_HCD_APR_TABLE_A,1,none,,,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
production.housing_applications.application_project_records,production,1.3.0,Housing Production & Policy,housing_applications,application_project_records,Residential application records,records,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
production.housing_applications.application_approved_units,production,1.3.0,Housing Production & Policy,housing_applications,application_approved_units,Units approved in residential applications,housing units,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,HCD APR application-stage administrative data aggregated to county.
production.housing_applications.application_disapproved_units,production,1.3.0,Housing Production & Policy,housing_applications,application_disapproved_units,Units disapproved in residential applications,housing units,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,HCD APR application-stage administrative data aggregated to county.
production.housing_applications.application_proposed_units,production,1.3.0,Housing Production & Policy,housing_applications,application_proposed_units,Units proposed in residential applications,housing units,annual,aggregated,county sum or count of HCD APR Table A records,CA_HCD_APR_TABLE_A,1,none,,,HCD APR application-stage administrative data aggregated to county.
production.housing_element_compliance.housing_elements_in_compliance,production,1.3.0,Housing Production & Policy,housing_element_compliance,housing_elements_in_compliance,Housing elements in compliance,jurisdictions,current status snapshot,aggregated,count of current HCD compliance records,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,1,none,,,Current administrative status can change between refreshes; this is not a historical compliance series.
production.housing_element_compliance.housing_elements_out_of_compliance,production,1.3.0,Housing Production & Policy,housing_element_compliance,housing_elements_out_of_compliance,Housing elements out of compliance,jurisdictions,current status snapshot,aggregated,count of current HCD compliance records,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,1,none,,,Current administrative status can change between refreshes; this is not a historical compliance series.
production.housing_element_compliance.housing_element_jurisdictions,production,1.3.0,Housing Production & Policy,housing_element_compliance,housing_element_jurisdictions,Housing-element jurisdictions,jurisdictions,current status snapshot,aggregated,count of current HCD compliance records,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,1,none,,,Current administrative status can change between refreshes; this is not a historical compliance series.
production.housing_element_compliance.housing_element_compliance_share_pct,production,1.3.0,Housing Production & Policy,housing_element_compliance,housing_element_compliance_share_pct,Share of housing elements in compliance,percent,current status snapshot,derived,jurisdictions with HCD compliance status In / all county jurisdictions * 100,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,1,none,,,Current administrative status can change between refreshes; this is not a historical compliance series.
production.permitting_timelines.deterministically_matched_projects,production,1.3.0,Housing Production & Policy,permitting_timelines,deterministically_matched_projects,Deterministically matched projects,projects,multi-year matched-project summary,aggregated,count of high-confidence exact identifier matches,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Coverage is published with the medians; unmatched records are not imputed.
production.permitting_timelines.matched_application_to_completion_median_days,production,1.3.0,Housing Production & Policy,permitting_timelines,matched_application_to_completion_median_days,Matched application-to-completion median,days,multi-year matched-project summary,derived,median elapsed calendar days among deterministic exact-ID matches with chronological dates,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Sample size 1757. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
production.permitting_timelines.matched_application_to_entitlement_median_days,production,1.3.0,Housing Production & Policy,permitting_timelines,matched_application_to_entitlement_median_days,Matched application-to-entitlement median,days,multi-year matched-project summary,derived,median elapsed calendar days among deterministic exact-ID matches with chronological dates,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Sample size 4315. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
production.permitting_timelines.matched_entitlement_to_permit_median_days,production,1.3.0,Housing Production & Policy,permitting_timelines,matched_entitlement_to_permit_median_days,Matched entitlement-to-permit median,days,multi-year matched-project summary,derived,median elapsed calendar days among deterministic exact-ID matches with chronological dates,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Sample size 1352. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
production.permitting_timelines.matched_permit_to_completion_median_days,production,1.3.0,Housing Production & Policy,permitting_timelines,matched_permit_to_completion_median_days,Matched permit-to-completion median,days,multi-year matched-project summary,derived,median elapsed calendar days among deterministic exact-ID matches with chronological dates,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Sample size 1674. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
production.permitting_timelines.timeline_match_rate_pct,production,1.3.0,Housing Production & Policy,permitting_timelines,timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,percent,multi-year matched-project summary,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,1,none,,,Coverage is published with the medians; unmatched records are not imputed.
production.production_pipeline.annual_completion_to_permit_flow_pct,production,1.3.0,Housing Production & Policy,production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,percent,annual,derived,completed units reported in year / building-permit units reported in same year * 100,CA_HCD_APR_TABLE_A2,1,none,,,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects."
production.production_pipeline.building_permit_units,production,1.3.0,Housing Production & Policy,production_pipeline,building_permit_units,Building-permit units,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.production_pipeline.completed_units,production,1.3.0,Housing Production & Policy,production_pipeline,completed_units,Completed units / certificates of occupancy,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.production_pipeline.entitled_units,production,1.3.0,Housing Production & Policy,production_pipeline,entitled_units,Entitled units,housing units,annual,aggregated,county sum of HCD APR Table A2 reported units,CA_HCD_APR_TABLE_A2,1,none,,,"Entitlements, building permits, and completions are distinct production stages."
production.rhna_delivery.rhna_completion_gap_units,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_completion_gap_units,Allocation less cumulative completions,housing units,planning-cycle progress snapshot,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_permit_gap_units,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_permit_gap_units,Allocation less cumulative permits,housing units,planning-cycle progress snapshot,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_completion_progress_pct,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,percent,planning-cycle progress snapshot,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_permitted_units,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_permitted_units,"Cumulative building-permit units, 2023–2025",housing units,planning-cycle progress snapshot,aggregated,published allocation or sum of annual HCD APR Table A2 units,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_completed_units,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_completed_units,"Cumulative completed units, 2023–2025",housing units,planning-cycle progress snapshot,aggregated,published allocation or sum of annual HCD APR Table A2 units,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_completion_to_permit_flow_pct,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_completion_to_permit_flow_pct,Cumulative completions as share of cumulative permits,percent,planning-cycle progress snapshot,derived,published allocation or sum of annual HCD APR Table A2 units,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_permit_progress_pct,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_permit_progress_pct,Permit progress toward sixth-cycle RHNA,percent,planning-cycle progress snapshot,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.rhna_delivery.rhna_allocation_units,production,1.3.0,Housing Production & Policy,rhna_delivery,rhna_allocation_units,Sixth-cycle RHNA allocation,housing units,planning-cycle progress snapshot,aggregated,published allocation or sum of annual HCD APR Table A2 units,CA_HCD_APR_TABLE_A2;CA_HCD_RHNA,1,none,,,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
production.zoning_and_rezoning.lower_intensity_share_of_residential_zoning_pct,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,lower_intensity_share_of_residential_zoning_pct,Lower-intensity categories as share of residential-labeled mapped area,percent,irregular compiled inventory,derived,county sum of dataset-provided polygon area and transparent category shares,CA_LCI_STATEWIDE_ZONING,1,none,,,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
production.zoning_and_rezoning.mapped_zoning_area_sq_km,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,mapped_zoning_area_sq_km,Mapped zoning polygon area,square kilometers,irregular compiled inventory,aggregated,county sum of dataset-provided polygon area and transparent category shares,CA_LCI_STATEWIDE_ZONING,1,none,,,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
production.zoning_and_rezoning.mixed_use_share_of_mapped_zoning_pct,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,mixed_use_share_of_mapped_zoning_pct,Mixed-use category as share of mapped area,percent,irregular compiled inventory,derived,county sum of dataset-provided polygon area and transparent category shares,CA_LCI_STATEWIDE_ZONING,1,none,,,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
production.zoning_and_rezoning.multifamily_share_of_residential_zoning_pct,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,multifamily_share_of_residential_zoning_pct,Multi-family category as share of residential-labeled mapped area,percent,irregular compiled inventory,derived,county sum of dataset-provided polygon area and transparent category shares,CA_LCI_STATEWIDE_ZONING,1,none,,,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
production.zoning_and_rezoning.reported_rezone_acres,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,reported_rezone_acres,Reported Table C parcel area,acres,annual administrative reporting,aggregated,county sum of HCD APR Table C records,CA_HCD_APR_TABLE_C,1,none,,,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
production.zoning_and_rezoning.reported_rezone_site_records,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,reported_rezone_site_records,Reported Table C site records,records,annual administrative reporting,aggregated,county sum of HCD APR Table C records,CA_HCD_APR_TABLE_C,1,none,,,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
production.zoning_and_rezoning.reported_rezone_lower_income_capacity,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,reported_rezone_lower_income_capacity,Reported lower-income capacity on Table C sites,housing units,annual administrative reporting,aggregated,county sum of HCD APR Table C records,CA_HCD_APR_TABLE_C,1,none,,,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
production.zoning_and_rezoning.reported_rezone_realistic_capacity,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,reported_rezone_realistic_capacity,Reported realistic capacity on Table C sites,housing units,annual administrative reporting,aggregated,county sum of HCD APR Table C records,CA_HCD_APR_TABLE_C,1,none,,,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
production.zoning_and_rezoning.residential_labeled_zoning_area_sq_km,production,1.3.0,Housing Production & Policy,zoning_and_rezoning,residential_labeled_zoning_area_sq_km,Residential-labeled mapped zoning area,square kilometers,irregular compiled inventory,aggregated,county sum of dataset-provided polygon area and transparent category shares,CA_LCI_STATEWIDE_ZONING,1,none,,,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
